WBS,タスク名,開始日,終了日,期間(日),担当,ステータス,依存関係,備考
1,プロジェクト準備,2026-02-06,2026-02-10,5,プロデューサー,未着手,,
1.1,要件定義書の精読と論点整理,2026-02-06,2026-02-07,2,プロデューサー,未着手,,
1.2,プランナーへの要件伝達資料作成,2026-02-06,2026-02-09,4,プロデューサー,未着手,,
1.3,外注デザイン会社(GLOE)の選定・コンタクト,2026-02-07,2026-02-09,3,プロデューサー,未着手,,
1.4,プランナーへ要件伝達・キックオフ,2026-02-10,2026-02-10,1,プロデューサー,未着手,1.2,
2,企画立案,2026-02-10,2026-02-19,10,プランナー,未着手,,
2.1,コンセプト策定,2026-02-10,2026-02-14,5,プランナー,未着手,,
2.1.1,3プラン(A/B/C)の企画コンセプト策定,2026-02-10,2026-02-14,5,プランナー,未着手,1.4,
2.2,体験設計,2026-02-10,2026-02-17,8,プランナー,未着手,,
2.2.1,各タイトルの世界観・体験設計案作成,2026-02-10,2026-02-17,8,プランナー,未着手,1.4,
2.2.2,UGC誘発施策の具体案策定(フォトスポット等),2026-02-12,2026-02-17,6,プランナー,未着手,2.1.1,
2.3,ブース設計,2026-02-11,2026-02-14,4,プランナー,未着手,,
2.3.1,ブースレイアウト要件整理(各プラン),2026-02-11,2026-02-14,4,プランナー,未着手,2.1.1,
2.3.2,試遊台仕様・台数・回転率の設計,2026-02-13,2026-02-14,2,プランナー,未着手,2.3.1,
2.3.3,造作物・装飾の仕様検討と世界観再現方針,2026-02-13,2026-02-14,2,プランナー,未着手,2.2.1,
2.4,コンテンツ企画,2026-02-14,2026-02-16,3,プランナー,未着手,,
2.4.1,ステージプログラム企画(タイトルC含む),2026-02-14,2026-02-16,3,プランナー,未着手,2.1.1,
2.4.2,キャスティング案策定(インフルエンサー・MC等),2026-02-14,2026-02-16,3,プランナー,未着手,2.4.1,
2.4.3,ノベルティ企画・配布戦略立案,2026-02-15,2026-02-16,2,プランナー,未着手,2.1.1,
2.5,マーケティング戦略,2026-02-15,2026-02-17,3,プランナー,未着手,,
2.5.1,デジタル・SNSマーケティング戦略立案,2026-02-15,2026-02-16,2,プランナー,未着手,2.2.2,
2.5.2,配信計画策定(会場内外の配信設計),2026-02-16,2026-02-17,2,プランナー,未着手,2.4.1,
2.6,運営計画,2026-02-17,2026-02-19,3,プランナー,未着手,,
2.6.1,安全対策・警備計画立案,2026-02-17,2026-02-18,2,プランナー,未着手,2.3.1,
2.6.2,必要機材リストアップと仕様確定,2026-02-18,2026-02-19,2,プランナー,未着手,2.3.2,
3,外注デザイン(GLOE),2026-02-13,2026-03-11,27,GLOE,未着手,,
3.1,ブリーフィング,2026-02-13,2026-02-16,4,プロデューサー/GLOE,未着手,,
3.1.1,GLOEへブリーフィング資料作成,2026-02-13,2026-02-14,2,プロデューサー,未着手,2.3.1,
3.1.2,GLOEへブリーフィング実施,2026-02-14,2026-02-16,3,プロデューサー,未着手,3.1.1,
3.2,施工業者オリエン,2026-02-13,2026-02-16,4,GLOE,未着手,,
3.2.1,GLOEが施工業者に向けたオリエン実施,2026-02-13,2026-02-16,4,GLOE,未着手,3.1.2,~2/16(月)まで
3.3,初稿制作,2026-02-17,2026-02-25,9,GLOE/デザイナー,未着手,,
3.3.1,デザイナーによるデザイン初稿UP,2026-02-17,2026-02-25,9,デザイナー,未着手,3.2.1,~2/25(水)まで
3.4,FB・調整,2026-02-26,2026-03-04,7,プロデューサー/GLOE/施工業者,未着手,,
3.4.1,初稿FB実施,2026-02-26,2026-03-04,7,プロデューサー,未着手,3.3.1,~3/4(水)まで
3.4.2,施工業者による金額的フィジビリ確認,2026-02-26,2026-03-04,7,施工業者,未着手,3.3.1,~3/4(水)まで
3.4.3,デザイン調整対応,2026-02-26,2026-03-04,7,GLOE/デザイナー,未着手,3.4.1,~3/4(水)まで
3.5,最終納品,2026-03-11,2026-03-11,1,GLOE,未着手,,
3.5.1,デザインFIX・最終納品,2026-03-11,2026-03-11,1,GLOE,未着手,3.4.3,3/11(水)FIX
4,見積取得,2026-02-19,2026-03-03,13,プロデューサー,未着手,,
4.1,見積依頼準備,2026-02-19,2026-02-21,3,プロデューサー,未着手,,
4.1.1,施工・装飾会社への見積依頼準備,2026-02-19,2026-02-21,3,プロデューサー,未着手,2.3.3,
4.1.2,機材会社への見積依頼準備,2026-02-19,2026-02-21,3,プロデューサー,未着手,2.6.2,
4.1.3,運営・人材派遣会社への見積依頼準備,2026-02-19,2026-02-21,3,プロデューサー,未着手,2.6.1,
4.2,見積依頼発行,2026-02-24,2026-02-24,1,プロデューサー,未着手,,
4.2.1,各社へ見積依頼発行,2026-02-24,2026-02-24,1,プロデューサー,未着手,4.1.3,
4.3,見積回収,2026-02-24,2026-03-03,8,プロデューサー,未着手,,
4.3.1,各社見積回収と精査,2026-02-24,2026-03-03,8,プロデューサー,未着手,4.2.1,
5,予算積算,2026-03-03,2026-03-06,4,プロデューサー,未着手,,
5.1,プラン別積算,2026-03-03,2026-03-05,3,プロデューサー,未着手,,
5.1.1,プランA予算積算(2.5億円目安),2026-03-03,2026-03-05,3,プロデューサー,未着手,4.3.1,
5.1.2,プランB予算積算(2.0~2.5億円目安),2026-03-03,2026-03-05,3,プロデューサー,未着手,4.3.1,
5.1.3,プランC予算積算(2.0億円目安),2026-03-03,2026-03-05,3,プロデューサー,未着手,4.3.1,
5.2,VE提案,2026-03-04,2026-03-06,3,プロデューサー,未着手,,
5.2.1,VE提案検討(コスト最適化案),2026-03-04,2026-03-06,3,プロデューサー,未着手,5.1.3,
6,提案書制作,2026-03-05,2026-03-11,7,プランナー,未着手,,
6.1,構成設計,2026-03-05,2026-03-06,2,プランナー,未着手,,
6.1.1,提案書構成案作成,2026-03-05,2026-03-06,2,プランナー,未着手,5.2.1,
6.2,デザイン準備,2026-03-06,2026-03-07,2,プランナー,未着手,,
6.2.1,提案書デザインフォーマット準備,2026-03-06,2026-03-07,2,プランナー,未着手,6.1.1,
6.3,コンテンツ作成,2026-03-06,2026-03-08,3,プランナー,未着手,,
6.3.1,体験設計フロー図作成,2026-03-06,2026-03-08,3,プランナー,未着手,6.1.1,
6.4,初稿作成,2026-03-07,2026-03-09,3,プランナー,未着手,,
6.4.1,提案書初稿作成,2026-03-07,2026-03-09,3,プランナー,未着手,3.5.1,外注パース組み込み
6.5,レビュー,2026-03-10,2026-03-10,1,プロデューサー,未着手,,
6.5.1,社内レビュー・フィードバック反映,2026-03-10,2026-03-10,1,プロデューサー,未着手,6.4.1,
6.6,最終稿,2026-03-11,2026-03-11,1,プランナー,未着手,,
6.6.1,提案書最終稿完成,2026-03-11,2026-03-11,1,プランナー,未着手,6.5.1,
7,プレゼン準備,2026-03-11,2026-03-12,2,プロデューサー,未着手,,
7.1,プレゼン資料,2026-03-11,2026-03-12,2,プロデューサー,未着手,,
7.1.1,プレゼンテーション資料作成,2026-03-11,2026-03-12,2,プロデューサー,未着手,6.6.1,
7.2,リハーサル,2026-03-12,2026-03-12,1,プロデューサー,未着手,,
7.2.1,プレゼンリハーサル実施,2026-03-12,2026-03-12,1,プロデューサー,未着手,7.1.1,
8,本番,2026-03-13,2026-03-13,1,プロデューサー,未着手,,
8.1,コンペ提案実施,2026-03-13,2026-03-13,1,プロデューサー,未着手,7.2.1,3/13本番
