primary_booth,投稿数,いいね総数,いいね平均,いいね中央値,リプライ総数,リプライ平均,再投稿総数,再投稿平均,リーチ総数,リーチ平均,リーチ中央値,エンゲージメント率,投稿数スコア,エンゲージメント率スコア,総合スコア
litgs2025,225,17508.0,389.07,2.0,131.0,10.08,1455.0,97.0,1614429,7175.24,451.0,84.86222222222223,1.0,0.5500329218106996,0.91000658436214
ktgs2025,161,16.0,3.2,2.0,2.0,1.0,0.0,,100623,624.99,294.0,0.11180124223602485,0.7023255813953488,0.0007246376811594203,0.5620053926525109
カプコンtgs2025,124,300.0,10.0,1.0,13.0,1.3,14.0,7.0,127728,1030.06,191.0,2.6370967741935485,0.5302325581395348,0.017092293906810038,0.4276045052929899
デナアビ,110,21.0,3.5,2.5,2.0,1.0,5.0,1.25,26874,244.31,45.0,0.2545454545454545,0.46511627906976744,0.0016498316498316497,0.3724229895857803
メカブレ千葉決戦,77,31.0,10.33,7.0,0.0,,2.0,2.0,2188467,28421.65,55751.0,0.42857142857142855,0.3116279069767442,0.002777777777777778,0.24985788113695093
カレイドガチャ,58,2163.0,127.24,6.0,1.0,1.0,105.0,17.5,28973,499.53,281.0,39.12068965517241,0.22325581395348837,0.2535600255427842,0.22931665627134754
桃源暗鬼,18,2477.0,206.42,27.0,8.0,1.33,219.0,43.8,610353,33908.5,199.0,150.22222222222223,0.037209302325581395,0.9736625514403293,0.224499952148531
七つの大罪,70,52.0,7.43,3.0,8.0,2.0,5.0,1.67,130860,1869.43,441.0,0.9285714285714286,0.27906976744186046,0.006018518518518519,0.22445951765719208
ff14,14,1905.0,211.67,2.0,7.0,2.33,248.0,62.0,21961,1568.64,329.5,154.28571428571428,0.018604651162790697,1.0,0.21488372093023256
ホワサバ,22,1834.0,203.78,5.0,18.0,9.0,74.0,24.67,78907,3586.68,192.0,87.54545454545455,0.05581395348837209,0.5674242424242425,0.1581360112755462
konami,34,540.0,25.71,2.0,35.0,4.38,90.0,22.5,34153,1004.5,316.5,19.558823529411764,0.11162790697674418,0.12677015250544663,0.11465635608248467
アークナイツエンドフィールド,35,514.0,27.05,10.0,0.0,,27.0,3.0,16290,465.43,132.0,15.457142857142857,0.11627906976744186,0.1001851851851852,0.11306029285099053
nteリライフ,26,690.0,49.29,3.0,9.0,1.5,47.0,7.83,279080,10733.85,722.0,28.692307692307693,0.07441860465116279,0.185968660968661,0.09672861591466243
デルタフォースtgs,31,208.0,52.0,41.5,2.0,1.0,13.0,6.5,176198,5683.81,179.0,7.193548387096774,0.09767441860465116,0.046624850657108724,0.08746450501514269
メタ転,13,536.0,67.0,20.0,2.0,1.0,48.0,8.0,20279,1559.92,520.0,45.07692307692308,0.013953488372093023,0.2921652421652422,0.06959583913072287
tokyogameshow2025,25,152.0,8.94,6.0,5.0,1.0,12.0,1.33,30123,1204.92,1290.0,6.76,0.06976744186046512,0.04381481481481481,0.06457691645133505
ガレリアベースtgs2025,27,22.0,7.33,9.0,0.0,,3.0,1.5,10025,371.3,148.0,0.9259259259259259,0.07906976744186046,0.006001371742112484,0.06445608830191088
運命のトリガー,22,305.0,23.46,2.0,7.0,1.4,21.0,5.25,351245,15965.68,349.0,15.136363636363637,0.05581395348837209,0.09810606060606061,0.06427237491190979
nikketgs2025,11,440.0,62.86,53.0,7.0,1.4,40.0,8.0,203539,18503.55,635.0,44.27272727272727,0.004651162790697674,0.28695286195286196,0.06111150262313053
rtxon,24,2.0,2.0,2.0,0.0,,0.0,,23499,979.12,306.5,0.08333333333333333,0.06511627906976744,0.0005401234567901234,0.05220104794717198
恋と深空tgs,17,105.0,8.08,3.0,4.0,1.0,0.0,,2313,136.06,34.0,6.411764705882353,0.03255813953488372,0.041557734204793036,0.03435805846886558
mechabreak,17,71.0,10.14,2.0,3.0,1.5,0.0,,32839,1931.71,148.0,4.352941176470588,0.03255813953488372,0.02821350762527233,0.03168921315296144
escapefromtarkov,16,88.0,8.8,2.0,8.0,1.0,18.0,6.0,12407,775.44,224.0,7.125,0.027906976744186046,0.04618055555555556,0.031561692506459946
第五人格,16,52.0,5.78,2.0,2.0,1.0,8.0,2.67,8333,520.81,722.0,3.875,0.027906976744186046,0.02511574074074074,0.027348729543496986
ブラウンダスト2,11,164.0,41.0,16.0,4.0,2.0,13.0,4.33,345982,31452.91,205.0,16.454545454545453,0.004651162790697674,0.10664983164983165,0.02505089656252447
gtune,15,51.0,10.2,1.0,7.0,2.33,6.0,6.0,9376,625.07,366.0,4.266666666666667,0.023255813953488372,0.027654320987654323,0.02413551536032156
p5xjp,12,132.0,26.4,7.0,2.0,1.0,15.0,7.5,172278,14356.5,148.5,12.416666666666666,0.009302325581395349,0.0804783950617284,0.02353753947746196
トリッカル,16,0.0,,,0.0,,0.0,,179378,11211.12,2142.0,0.0,0.027906976744186046,0.0,0.022325581395348838
segaatlustgs2025,13,77.0,12.83,3.5,3.0,1.0,5.0,1.67,44227,3402.08,366.0,6.538461538461538,0.013953488372093023,0.04237891737891738,0.019638574173457893
ai,15,5.0,2.5,2.5,0.0,,0.0,,195428,13028.53,925.0,0.3333333333333333,0.023255813953488372,0.0021604938271604936,0.019036749928222796
ゲーミングpc,15,1.0,1.0,1.0,0.0,,0.0,,12830,855.33,139.0,0.06666666666666667,0.023255813953488372,0.0004320987654320988,0.018691070915877118
逆水寒tgs,14,36.0,3.6,2.0,2.0,1.0,0.0,,2440,174.29,35.0,2.7142857142857144,0.018604651162790697,0.017592592592592594,0.01840223944875108
龍が如くtgs2025,11,110.0,12.22,2.0,3.0,1.0,3.0,1.5,17248,1568.0,888.0,10.545454545454545,0.004651162790697674,0.06835016835016836,0.017390963902591813
codevein2,12,41.0,10.25,7.0,0.0,,3.0,1.5,2469,205.75,57.0,3.6666666666666665,0.009302325581395349,0.023765432098765433,0.012194946884869367
スタレゾtgs,13,6.0,3.0,3.0,1.0,1.0,0.0,,8361,643.15,213.0,0.5384615384615384,0.013953488372093023,0.00349002849002849,0.011860796395680117
スクエニtgs,12,10.0,5.0,5.0,5.0,1.0,0.0,,11777,981.42,555.0,1.25,0.009302325581395349,0.008101851851851853,0.00906223083548665
懸賞,11,0.0,,,0.0,,0.0,,94185,8562.27,13102.0,0.0,0.004651162790697674,0.0,0.0037209302325581397
抽選,10,0.0,,,0.0,,0.0,,27173,2717.3,601.5,0.0,0.0,0.0,0.0
